PickPK,Location,ActivityID,Line,ItemID,Bin,OriginalBin,PendingBin,OriginalZone,PendingZone,QuantityToHandle,QuantityOutstanding,UOM,Description,CreatedOn,CreatedBy
A437C0BB-D136-4D07-8C43-0009057E4A0B,IL01,W-PI8492807,50000,847400001,BO22101,,NULL,NULL,FLOOR,0,0,EA,"Insert, Mold Pulp End Cap, Lft",2017-12-07 06:44:10.257,Khester
CAC502CA-FBCC-4C3C-BE1B-0043AE35F574,IL01,W-PI8495142,70000,839501001,BN11102,,NULL,NULL,FLOOR,0,0,EA,"Insrt,Mlded EndCap,4600 Right",2017-12-07 18:38:54.807,cbaker
DE3207F4-7D15-47D4-B27D-005359D4DE42,IL01,W-PI8494084,90000,IVRLC75M,FR02401,,NULL,NULL,FLOOR,0,0,EA,"Comp, IJ, BRO LC75 Magenta HY",2017-12-07 09:48:21.053,Rwoodin
D789CF51-76B6-4A18-82F8-006AE0E6ABF2,IL01,W-PI8495141,30000,851605001,BN08102,,NULL,NULL,FLOOR,0,0,EA,"Box, MOM Toner #1",2017-12-07 18:28:16.587,cbaker
91D4D744-5C05-4FCC-9D1B-006C22AB1831,IL01,W-PI8494089,90000,IVR951XLM,FR02301,,NULL,NULL,FLOOR,0,0,EA,"IVR, HP 951XL Magenta",2017-12-07 12:23:43.943,Rwoodin
D50F4B07-8952-4EBC-AF25-007462C4063E,IL01,W-PI8500852,50000,847538001,BW01102,,NULL,NULL,FLOOR,0,0,EA,"Box, WPP Toner #7",2017-12-07 22:45:42.487,Cthompson
1B1F2E15-080E-454F-937E-009B621B752D,IL01,W-PI8494629,950000,200652,AP10102,,NULL,NULL,FLOOR,0,0,EA,"CIG, Dell 1250/C1760 Tnr Bk HY",2017-12-07 16:58:57.850,aseifr
C4E77E76-8CF6-4F3C-B9A9-0120201896A7,IL01,W-PI8493500,50000,840728001,BU18101,,NULL,NULL,FLOOR,0,0,EA,"Molded End Cp Lft BRT MOD. ""C""",2017-12-07 09:18:27.557,HARREDONDO
4801E976-A0EC-4592-B3FA-014E2BC441FE,IL01,W-PI8493741,30000,847548001,BN10101,,NULL,NULL,FLOOR,0,0,EA,"Box, United Laser Toner #1",2017-12-07 11:09:13.033,awisse
F567FF4A-0F6E-4C89-BA47-018CCFE4B32D,IL01,W-PI8493823,70000,839725001,BL15103,,NULL,NULL,FLOOR,0,0,EA,"Insert,End Cap, Left (4700)",2017-12-07 10:57:35.027,awisse
D8A3973B-543C-4191-9018-01AF0BDCD615,IL01,W-PI8500836,30000,847551001,BU04101,,NULL,NULL,FLOOR,0,0,EA,"Box, United Laser Toner #7",2017-12-07 22:21:14.620,Cthompson
7C9A3E87-D0FF-4410-BDC2-01E1C0318A13,IL01,W-PI8491083,10000,BC1415BNPO,BU18102,,NULL,NULL,FLOOR,0,0,EA,"HP CP1415/1525, Black",2017-12-07 10:25:17.547,tcramer
CA4A7D11-B71D-4D83-87FE-0290CC5D8A9E,IL01,W-PI8499424,50000,200001PNB,AC03203,,NULL,NULL,03,0,0,EA,"CIG, HP 42X Tnr HY",2017-12-07 17:33:37.380,aseifr
327D7A8B-8CFD-4B6B-BB92-030315967A9C,IL01,W-PI8495101,70000,847804001,BG12103,,NULL,NULL,FLOOR,0,0,EA,"SPDYPAK  Rt, 6180, D3100",2017-12-07 18:32:04.507,Pabens
F37F931E-9C79-4672-AA23-032716534D0B,IL01,W-PI8495074,50000,847807001,BN05101,,NULL,NULL,FLOOR,0,0,EA,"SPDYPAK  Lft, B6300, R712",2017-12-07 22:38:01.033,cbaker
34A47934-AE18-4B4E-BE3D-0334943116EC,IL01,W-PI8493501,10000,BCC5100C,BF13203,,NULL,NULL,32,0,0,EA,Comp Oki C5100n HY Tnr Ctg Cy,2017-12-07 07:53:28.830,HARREDONDO
E6EA5CD3-E0C7-46FE-AC43-0345CEFF1DA4,IL01,W-PI8496035,70000,843141001,BW21101,,NULL,NULL,FLOOR,0,0,EA,"3/16 Bubble Wrap, 12x6",2017-12-07 17:26:06.107,Pabens
215D061D-7ECB-4823-BF4D-03A3D2D7BA90,IL01,W-PI8493739,90000,847535001,BK10102,,NULL,NULL,FLOOR,0,0,EA,"Box, WPP Toner #1",2017-12-07 09:04:29.243,Khester
B2126FD3-8590-439C-A3A9-04AE15EB4A53,IL01,W-PI8495135,30000,843365001,BK01103,,NULL,NULL,FLOOR,0,0,EA,"Box, Ideal Toner #2",2017-12-07 17:58:07.537,tcramer
6091CC09-94A0-4C53-9E12-04E6C4A36BA8,IL01,W-PI8500837,50000,833898001,BL15101,,NULL,NULL,FLOOR,0,0,EA,"Insrt,Mlded EndCap,4200 Left",2017-12-07 21:27:00.600,Pabens
2F4BFBBB-7D28-437E-AA50-04E8EE2BFA07,IL01,W-PI8496577,10000,IVRPC301,AM13302,,NULL,NULL,13,0,0,EA,Comp Bro IntlFx 770 Thrml,2017-12-07 20:58:44.380,Kburke
BE833020-BFA7-42E7-AE9E-0516124B9D25,IL01,W-PI8496577,350000,IVR69120,AB25203,,NULL,NULL,FLOOR,0,0,EA,Comp Epson 69 Ink Bk,2017-12-07 20:30:44.020,Kburke
820BF896-B49C-4ADE-A61E-05F449AEA080,IL01,W-PI8497348,50000,846741001,BK16101,,NULL,NULL,FLOOR,0,0,EA,"Insrt,MldPlpEndCap,4525 Left",2017-12-07 14:21:24.960,Khester
41012553-16F4-471E-B1BE-05FBE124B4D7,IL01,W-PI8500594,30000,846474001,BH13202,,NULL,NULL,34,0,0,EA,SPDYPAK Rft E260 E460 - Box 8,2017-12-07 19:16:46.793,Pabens
DFDA2D33-BB7D-4765-AC1B-0601BE187C64,IL01,W-PI8493508,10000,BC05A,BK07102,,NULL,NULL,FLOOR,0,0,EA,"BC, HP P2035/P2055 (05A)",2017-12-07 14:04:04.290,tcramer
7C9A2822-EFD3-4971-A9D0-06A49D6846C8,IL01,W-PI8500636,70000,847558001,BB14103,,NULL,NULL,FLOOR,0,0,EA,14 Chamber aircell for Box7,2017-12-07 20:53:02.237,Cthompson
3D94448D-313D-44CC-8BA0-06BBEB8DD339,IL01,W-PI8493490,30000,847536001,BL14103,,NULL,NULL,FLOOR,0,0,EA,"Box, WPP Toner #2",2017-12-07 09:25:58.067,HARREDONDO
338A78EE-2F64-4609-ABAE-06ED9CBF199B,IL01,W-PI8494629,730000,118086,FR01204,,NULL,NULL,FLOOR,0,0,EA,"CIG, HP 935XL Ink Yl",2017-12-07 17:13:26.697,aseifr
755728AA-6275-4EBD-9D6F-0703ED7E53FD,IL01,W-PI8493489,10000,BCD3115B,BJ08101,,NULL,NULL,FLOOR,0,0,EA,Dell 3110/3115 HY Black,2017-12-07 09:22:20.837,HARREDONDO
378DDA2A-467C-4661-9029-07318C85418E,IL01,W-PI8500295,10000,839392001,BM14201,,NULL,NULL,39,0,0,EA,"Insert, Stock Air Cell",2017-12-07 17:27:52.177,Cthompson
2AA0FD96-7A6B-41C0-BEB5-0747458460EE,IL01,W-PI8498071,50000,846473001,BI14203,,NULL,NULL,35,0,0,EA,SPDYPAK Lft E260 E460 - Box 8,2017-12-07 15:21:25.103,RWaldo
8685F352-ADDC-4EEC-A85A-07D4C2CA4F11,IL01,W-PI8499616,10000,BCTN221B,BL08402,,NULL,NULL,38,0,0,EA,BROTHER TN221 BLACK,2017-12-07 16:34:14.003,RWaldo
EF16A220-8270-4403-9675-080A8FAF9C4A,IL01,W-PI8493507,10000,845919002,BO11202,,NULL,NULL,41,0,0,EA,7 Chamber Pregis Air Cell Env,2017-12-07 08:59:20.427,HARREDONDO
D64A9DE2-2450-4960-88EC-08F6E29F0FBF,IL01,W-PI8496641,70000,833549001,BM15102,,NULL,NULL,FLOOR,0,0,EA,INSERT #1A for Box 1,2017-12-07 18:33:53.610,RWaldo
E13CC900-85F4-4656-A373-094E6D1518FD,IL01,W-PI8495138,10000,845919002,BO11202,,NULL,NULL,41,0,0,EA,7 Chamber Pregis Air Cell Env,2017-12-07 17:16:58.820,Cthompson
08F5B55A-A29E-4362-AA10-09636AEF17A4,IL01,W-PI8496522,50000,BC2025CNPO,BW01101,,NULL,NULL,FLOOR,0,0,EA,"HP CLJ CP2025, Cyan",2017-12-07 13:17:58.633,aseifr
52583430-D868-4208-A083-0973AF7D2EBC,IL01,W-PI8495080,10000,841748001,BG13201,,NULL,NULL,33,0,0,EA,"DNO Box, CW Toner #11",2017-12-07 16:27:35.327,RWaldo
D3C93BBB-37EC-4950-A249-09F97456072B,IL01,W-PI8496081,70000,843141001,BW21101,,NULL,NULL,FLOOR,0,0,EA,"3/16 Bubble Wrap, 12x6",2017-12-07 16:17:14.133,cbaker
9747891E-4297-4DF0-B096-0A1163BA3591,IL01,W-PI8500599,10000,BCXRX4540BX,BZ16401,,NULL,NULL,50,0,0,EA,"HP #646X BLACK (CE264X), XEROX",2017-12-07 19:18:29.130,cbaker
106619E9-9E4A-40EB-9579-0A8ED0E4C4D5,IL01,W-PI8499410,110000,MSE0221540016,AL16301,,NULL,NULL,FLOOR,0,0,EA,"MSE, HP CM4540 Tnr Bk HY",2017-12-07 18:48:39.853,wheinz
0B2484CF-D15F-4B4C-B85F-0AFE67157A97,IL01,W-PI8490629,650000,578705,AH16101,,NULL,NULL,FLOOR,0,0,EA,"OD, CNM CLI-8 Ink Bk",2017-12-07 06:35:09.880,Rwoodin
8A198892-909C-42B5-AA55-0B5154096C24,IL01,W-PI8493493,10000,BCKX83OS,BP22102,,NULL,NULL,FLOOR,0,0,EA,Comp Pan KX-FL511 Tnr,2017-12-07 09:42:37.360,HARREDONDO
BA6B27D7-9B0C-48E9-B314-0B7578D71097,IL01,W-PI8500835,90000,843401001,CRT2A204,,NULL,NULL,MFG,0,0,EA,"Label,WPP, Cart Label 1 Yellow",2017-12-07 21:33:37.147,Cthompson
1DDE9E04-5FA2-41D4-87E9-0BE9E3651584,IL01,W-PI8494629,350000,112854P,AK16303,,NULL,NULL,11,0,0,EA,"CIG, Bro TN430 Tnr",2017-12-07 16:35:20.600,aseifr
1FB9DCD6-C8CA-4386-B263-0BFC48DC3EE8,IL01,W-PI8494629,610000,114546,FR04501,,NULL,NULL,FLOOR,0,0,EA,"CIG, HP 97 Ink Tri-Clr",2017-12-07 17:15:52.687,aseifr
4AB317A2-91F8-4A47-A895-0C06082F500D,IL01,W-PI8500640,110000,837092001,BH10102,,NULL,NULL,FLOOR,0,0,EA,"Insert, 09/82 end cap,Rt Side",2017-12-07 21:20:00.727,RWaldo
D5B3C38C-FE93-4E84-8B31-0C3FEBB14DBA,IL01,W-PI8493510,10000,BCXRX4540M,BU03401,,NULL,NULL,46,0,0,EA,HP #648A MGNTA (CE263A) XEROX,2017-12-07 08:40:18.267,awisse
EDD863DA-64C1-4A8F-80E4-0C4778F51A97,IL01,W-PI8495135,70000,839725001,BL15103,,NULL,NULL,FLOOR,0,0,EA,"Insert,End Cap, Left (4700)",2017-12-07 17:51:25.570,tcramer
C689E4CC-0F7C-484B-8B5B-0C5050C0B9A3,IL01,W-PI8498005,90000,MSE022140114,AT10102,,NULL,NULL,FLOOR,0,0,EA,"MSE, HP CP4005 Tnr Cy",2017-12-07 14:47:33.040,sbillings
0ACF76AD-2F71-4CFD-BC64-0C9C6C3F48F4,IL01,W-PI8494899,30000,BCM451BNPO,BU14102,,NULL,NULL,FLOOR,0,0,EA,"HP CP M451/475, Black",2017-12-07 16:59:52.037,RWaldo
C0ACB7B8-67ED-4784-8DA9-0CF7A77E698C,IL01,W-PI8498134,30000,IVRCN626AM,AS05101,,NULL,NULL,FLOOR,0,0,EA,"IVR, HP 971XL Cyan",2017-12-07 20:19:07.267,Kburke
76B6A82A-81B1-4D62-9EE2-0D4FD32F53B0,IL01,W-PI8494325,50000,847536001,BL14103,,NULL,NULL,FLOOR,0,0,EA,"Box, WPP Toner #2",2017-12-07 10:27:11.407,Khester
80927791-2155-41EC-9DFE-0DEAC391884E,IL01,W-PI8499424,330000,200715P,AT15402,,NULL,NULL,20,0,0,EA,"CIG, Dell B2375 Tnr HY",2017-12-07 18:50:31.870,aseifr
07197B17-25F8-4A42-A22D-0F1351153101,IL01,W-PI8498792,70000,200174P,AD07202,,NULL,NULL,04,0,0,EA,"CIG, HP 05X Tnr HY",2017-12-07 16:22:40.033,ealbright
F832B0FD-31DF-4E98-9074-0F1614F70389,IL01,W-PI8495140,50000,833899001,BL07102,,NULL,NULL,FLOOR,0,0,EA,"Insrt,Mlded EndCap,4200 Right",2017-12-07 20:26:35.913,RWaldo
8473843D-12C0-4CE2-87BA-0F5417933BEA,IL01,W-PI8499424,290000,200593P,AS16301,,NULL,NULL,19,0,0,EA,"CIG, Bro TN310 Tnr Cy",2017-12-07 18:51:41.343,aseifr
31CF6193-B334-4E8C-8229-0F64F1D6F912,IL01,W-PI8493498,50000,847360001,BH11101,,NULL,NULL,FLOOR,0,0,EA,"Insrt, Mlded End Cap,Left 5500",2017-12-07 09:39:39.720,HARREDONDO
C7E5810F-F78F-4757-A99D-0FB4ECF30E14,IL01,W-PI8494897,70000,847790001,BM01102,,NULL,NULL,FLOOR,0,0,EA,SPDYPAK  Lft 4600 CLP660 Box 1,2017-12-07 16:02:31.450,RWaldo
406E4976-BEC0-40A4-9DFD-0FCFD5B1A9F0,IL01,W-PI8496776,50000,844623001,BU11102,,NULL,NULL,FLOOR,0,0,EA,Insert 7C,2017-12-07 17:09:51.473,cbaker
577D4C1E-BE5C-4A5A-966A-102BCEFD4321,IL01,W-PI8496577,250000,IVRPC501,AE03102,,NULL,NULL,FLOOR,0,0,EA,Comp Bro IntlFx 575 Thrml,2017-12-07 20:32:12.000,Kburke
96C9DE2A-B4B2-4925-891A-10887520C312,IL01,W-PI8498792,110000,200489PNB,AD15202,,NULL,NULL,04,0,0,EA,"CIG, HP CP4025/4525 Tnr Bk",2017-12-07 16:35:31.777,ealbright
B937FDB8-38CA-4372-AACC-10C56983761B,IL01,W-PI8494848,50000,849508001,BR18102,,NULL,NULL,FLOOR,0,0,EA,"SPDYPAK Rt, TN221 TN225  Box 7",2017-12-07 13:35:15.617,Khester
13613DF7-B799-4D26-8795-10C82A681345,IL01,W-PI8498792,170000,200126PNB2,AD05202,,NULL,NULL,04,0,0,EA,"CIG, HP 64A Tnr",2017-12-07 16:20:58.567,ealbright
FE6B0190-B658-4652-8190-1165E02550FD,IL01,W-PI8493511,10000,845919002,BO11202,,NULL,NULL,41,0,0,EA,7 Chamber Pregis Air Cell Env,2017-12-07 08:29:58.923,awisse
DDCAD138-280E-4CFF-8B40-11A897D4320C,IL01,W-PI8494093,130000,IVRLC75BK,FR04102,,NULL,NULL,FLOOR,0,0,EA,"Comp, IJ, BRO LC75 Black HY",2017-12-07 12:09:16.593,Rwoodin
E18F68FE-0C03-4568-9CBD-12139BDB1A64,IL01,W-PI8500858,10000,BC96TMPG,BQ11201,,NULL,NULL,43,0,0,EA,Comp HP 2100 Ptr Tnr TM,2017-12-07 23:13:18.023,RWaldo
845C7965-C535-4EDB-B453-128B8DE4B69E,IL01,W-PI8493761,70000,200167P,AC06403,,NULL,NULL,03,0,0,EA,"CIG, HP 4600 Tnr Mg",2017-12-07 10:29:15.200,Rwoodin
96D3CC10-A80D-4C18-A77D-12B84AAEA8F8,IL01,W-PI8495453,70000,837995002,BN12101,,NULL,NULL,FLOOR,0,0,EA,"Molded Pulp,Rt(11,51,55A)",2017-12-07 11:05:32.973,tcramer
1AC9BA71-5C9B-4EB3-B200-12BAC5876F62,IL01,W-PI8496765,90000,827998001,BUBLWRP,,NULL,NULL,MFG,0,0,EA,Bubble Wrap 16x24,2017-12-07 16:09:08.050,tcramer
9C73078D-3D5E-41F3-8795-1301F7134651,IL01,W-PI8494087,30000,IVR7970,AJ13103,,NULL,NULL,FLOOR,0,0,EA,IVR PB 797-0 (K700),2017-12-07 09:37:58.713,Rwoodin
1EA24BAA-B8B9-427F-BF9B-130AB0BE613F,IL01,W-PI8496574,50000,200742P,AF07201,,NULL,NULL,06,0,0,EA,"CIG, HP M476 Tnr Mg",2017-12-07 19:23:40.567,Jwilson2
E9C235C8-10CA-46B3-89B2-13316DF2864B,IL01,W-PI8493741,70000,849829001,BJ04103,,NULL,NULL,FLOOR,0,0,EA,Molded Pulp Rgt Box 1 Dr Unit,2017-12-07 11:08:34.380,awisse
6C521C4D-BBF4-40E1-8577-136E198938D2,IL01,W-PI8496361,50000,843465001,BI03102,,NULL,NULL,FLOOR,0,0,EA,Chip Board Box 2.875x2.375x7.5,2017-12-07 16:30:12.407,cbaker
D0D8D648-F01B-4CC1-8990-13897A6721C1,IL01,W-PI8498071,30000,846474001,BH13202,,NULL,NULL,34,0,0,EA,SPDYPAK Rft E260 E460 - Box 8,2017-12-07 15:18:51.800,RWaldo
ED56F16D-7BC3-48D5-9C06-138D1273480F,IL01,W-PI8490629,190000,230194,AH16103,,NULL,NULL,FLOOR,0,0,EA,"OD, HP 21/22 Ink Cmbo Pk",2017-12-07 06:36:05.290,Rwoodin
E45E9018-6180-40CA-BBD9-13AD31138812,IL01,W-PI8500641,90000,833899001,BL13101,,NULL,NULL,FLOOR,0,0,EA,"Insrt,Mlded EndCap,4200 Right",2017-12-07 20:58:04.287,Pabens
ACFE956A-C78F-4575-8F65-1401F6A3F1D2,IL01,W-PI8498135,50000,DPCS35NB,AM14203,,NULL,NULL,13,0,0,EA,Comp Canon IC D320/D340 Tnr,2017-12-07 19:32:13.190,Kburke
5F542728-13DC-46E7-8AE7-1431F94133A6,IL01,W-PI8494084,70000,IVRLC75C,FR05302,,NULL,NULL,FLOOR,0,0,EA,"Comp, IJ, BRO LC75 Cyan HY",2017-12-07 09:50:01.763,Rwoodin
D6676781-EC1B-4C24-8B06-14377DDCF1DD,IL01,W-PI8500849,70000,116902,AB34203,,NULL,NULL,FLOOR,0,0,EA,"CIG, Canon CLI-221 Ink Yl",2017-12-07 22:23:03.017,Pabens
9A658702-CDA2-49FB-BCEF-149C757D176D,IL01,W-PI8494093,10000,IVR7659,AS04403,,NULL,NULL,19,0,0,EA,IVR PB 765-9 (300C),2017-12-07 12:04:25.570,Rwoodin
85820C11-76FC-49F5-9758-14E5210C7D30,IL01,W-PI8499410,30000,200490P,AC11202,,NULL,NULL,03,0,0,EA,"CIG, HP 55X Tnr EY",2017-12-07 19:05:13.593,wheinz
F87C1764-220D-4AF5-B204-14FB41C7DBD0,IL01,W-PI8498792,370000,200182PNB2,AD14103,,NULL,NULL,FLOOR,0,0,EA,"CIG, HP 85A Tnr",2017-12-07 16:34:48.767,ealbright
3A0C3E8B-F838-44C8-BDB5-1537B4CB3270,IL01,W-PI8496577,90000,IVRCL211,AG13201,,NULL,NULL,FLOOR,0,0,EA,"IVR, Canon CL-211 Ink Color",2017-12-07 20:49:44.487,Kburke
D5BDF027-9494-4D8E-BDC5-1560CFEAEF65,IL01,W-PI8494851,70000,847792001,BF05101,,NULL,NULL,FLOOR,0,0,EA,"SPDYPAK  Rt, 5220, 5225",2017-12-07 12:48:30.197,awisse
55885A88-66E2-4317-959E-1571D3F7C758,IL01,W-PI8494099,90000,IVR4560,AG06102,,NULL,NULL,FLOOR,0,0,EA,Comp Neo/Hasler 45-60 Postage,2017-12-07 09:19:47.827,Rwoodin
74AF33F8-C10D-45EB-929F-157E320E363A,IL01,W-PI8494081,30000,DPC5500B,AM01101,,NULL,NULL,FLOOR,0,0,EA,Comp HP 5500 Tnr Bk,2017-12-07 09:56:13.800,Rwoodin
D570309B-0D7F-4197-9F17-15885559A945,IL01,W-PI8495050,50000,847538001,BW01102,,NULL,NULL,FLOOR,0,0,EA,"Box, WPP Toner #7",2017-12-07 17:10:11.040,tcramer
25192AAB-A588-4BAC-B3DF-15BCD40010DF,IL01,W-PI8491080,30000,851608001,BR22102,,NULL,NULL,FLOOR,0,0,EA,"Box, MOM Toner #7",2017-12-07 06:49:16.443,HARREDONDO
1A6B86F8-55D2-4A19-A18D-1624C67AA31E,IL01,W-PI8496642,10000,BC24XPPG,BT19201,,NULL,NULL,45,0,0,EA,"BC, HP LJ 1150 HY",2017-12-07 17:10:08.230,RWaldo
