UserId,Bin,Qty,ZoneCode,PickDate
Crichards,FR06402,1,FLOOR,12/1/17 6:17:01
Crichards,AL21203,1,FLOOR,12/1/17 6:19:46
Crichards,AG01201,1,FLOOR,12/1/17 6:21:24
Crichards,AL34103,1,FLOOR,12/1/17 6:23:54
Crichards,AT16103,1,FLOOR,12/1/17 6:25:07
Crichards,AG14103,12,FLOOR,12/1/17 6:27:29
Crichards,AE02201,1,5,12/1/17 6:28:59
Crichards,AV15303,4,22,12/1/17 6:30:48
Crichards,AL06103,2,FLOOR,12/1/17 6:33:16
Crichards,AL02102,1,FLOOR,12/1/17 6:42:54
Crichards,AJ03102,1,FLOOR,12/1/17 6:43:46
Crichards,AN06102,1,FLOOR,12/1/17 6:54:14
Crichards,AN06102,1,FLOOR,12/1/17 6:54:27
Crichards,AA04402,1,1,12/1/17 6:56:35
Crichards,AD05301,1,4,12/1/17 6:59:17
Crichards,AD11102,6,FLOOR,12/1/17 7:00:33
Crichards,AW08402,3,23,12/1/17 7:18:07
Crichards,AC06101,2,FLOOR,12/1/17 7:21:04
Crichards,AD11302,1,4,12/1/17 7:25:45
Crichards,AC08101,2,FLOOR,12/1/17 7:26:39
Crichards,AP10402,1,16,12/1/17 7:27:56
Crichards,AD13302,3,4,12/1/17 7:45:41
Agage,AF14103,1,FLOOR,12/1/17 7:31:25
Agage,AC06101,1,FLOOR,12/1/17 7:33:35
Agage,AC08101,3,FLOOR,12/1/17 7:40:24
Crichards,AB18302,1,FLOOR,12/1/17 7:54:11
Crichards,AF10303,1,6,12/1/17 7:55:25
Crichards,AI11302,1,9,12/1/17 8:08:43
Crichards,AS08203,1,19,12/1/17 8:09:47
Crichards,AC07202,1,3,12/1/17 8:10:56
Crichards,AC07202,1,3,12/1/17 8:11:20
Crichards,AD12202,1,4,12/1/17 8:12:28
Agage,AC13101,1,FLOOR,12/1/17 7:52:55
Agage,AD11102,1,FLOOR,12/1/17 8:06:00
Agage,AC07101,1,FLOOR,12/1/17 8:10:07
Agage,AC18101,1,FLOOR,12/1/17 8:09:02
Agage,AD11102,2,FLOOR,12/1/17 8:12:23
Agage,AC17102,1,FLOOR,12/1/17 8:11:04
Agage,AC18101,1,FLOOR,12/1/17 8:22:01
Agage,AC18101,1,FLOOR,12/1/17 8:22:24
Agage,AC18101,1,FLOOR,12/1/17 8:22:41
Agage,AC18101,1,FLOOR,12/1/17 8:22:59
Agage,AC18101,1,FLOOR,12/1/17 8:23:19
Agage,AC18101,1,FLOOR,12/1/17 8:23:39
Agage,AB04203,1,FLOOR,12/1/17 8:25:20
Agage,FR04303,1,FLOOR,12/1/17 8:18:31
Agage,FR01504,1,FLOOR,12/1/17 8:18:48
Agage,AF04101,1,FLOOR,12/1/17 8:20:32
Agage,AL10102,2,FLOOR,12/1/17 8:27:10
Agage,AL29103,1,FLOOR,12/1/17 8:27:40
Agage,FR05502,2,FLOOR,12/1/17 8:29:27
Agage,AE02101,1,FLOOR,12/1/17 8:32:16
Agage,AC10102,1,FLOOR,12/1/17 8:33:25
Agage,AE05101,2,FLOOR,12/1/17 8:31:17
Agage,AE06103,1,FLOOR,12/1/17 8:31:42
Crichards,AC04202,1,3,12/1/17 8:20:44
Crichards,AB17503,1,2,12/1/17 8:19:21
Crichards,AD12202,1,4,12/1/17 8:17:08
Crichards,AD12202,1,4,12/1/17 8:17:16
Crichards,AD13103,1,FLOOR,12/1/17 8:17:40
Crichards,AD13103,1,FLOOR,12/1/17 8:17:48
Crichards,AE02103,2,FLOOR,12/1/17 8:25:59
Crichards,AE03103,1,FLOOR,12/1/17 8:26:34
Crichards,AE04103,1,FLOOR,12/1/17 8:27:08
Crichards,AF11203,3,6,12/1/17 8:38:15
Crichards,AQ05401,1,17,12/1/17 8:28:14
rbarr,AW08402,1,23,12/1/17 8:31:57
rbarr,AR06401,1,18,12/1/17 8:33:30
rbarr,AD18303,1,4,12/1/17 8:29:37
rbarr,AE04203,1,5,12/1/17 8:28:08
Mcuevas,FR06302,2,FLOOR,12/1/17 8:29:54
Mcuevas,AK07103,1,FLOOR,12/1/17 8:35:22
Agage,AV31203,1,FLOOR,12/1/17 8:36:51
rbarr,AF16102,1,FLOOR,12/1/17 8:37:51
Mcuevas,AA12401,1,1,12/1/17 8:38:32
Agage,AU07202,2,FLOOR,12/1/17 8:42:27
Agage,AV06202,2,FLOOR,12/1/17 8:42:49
Agage,AA08102,1,FLOOR,12/1/17 8:47:09
Agage,AD16103,1,FLOOR,12/1/17 8:48:32
Agage,AD01102,1,FLOOR,12/1/17 8:54:20
Agage,AD15102,1,FLOOR,12/1/17 8:56:07
Agage,AD03101,1,FLOOR,12/1/17 8:57:09
Agage,AD11102,1,FLOOR,12/1/17 8:58:16
Agage,AD11102,1,FLOOR,12/1/17 8:58:47
Agage,AD12102,8,FLOOR,12/1/17 9:00:18
Agage,AF07101,1,FLOOR,12/1/17 9:01:05
rbarr,AG14403,1,7,12/1/17 8:44:14
Crichards,AA14403,1,1,12/1/17 8:44:29
Crichards,AC16101,1,FLOOR,12/1/17 8:45:45
Crichards,AC11103,1,FLOOR,12/1/17 8:46:32
Crichards,AC16102,8,FLOOR,12/1/17 8:49:01
Crichards,AC16102,1,FLOOR,12/1/17 8:49:25
rbarr,AV06403,1,22,12/1/17 8:52:21
rbarr,ARSTAG,1,VI,12/1/17 8:52:49
Mcuevas,AA17403,1,1,12/1/17 8:54:02
Mcuevas,AW11102,2,FLOOR,12/1/17 9:00:47
Mcuevas,AU03503,2,21,12/1/17 9:03:41
Mcuevas,AV36244,2,FLOOR,12/1/17 9:04:32
Mcuevas,AX13101,2,FLOOR,12/1/17 8:58:45
Mcuevas,AV36206,2,FLOOR,12/1/17 9:04:58
Mcuevas,AB11501,1,2,12/1/17 8:55:42
Mcuevas,AB17403,1,2,12/1/17 8:54:51
Mcuevas,AC17201,1,3,12/1/17 9:07:24
Mcuevas,AC15101,1,FLOOR,12/1/17 9:09:53
Mcuevas,AC04101,1,FLOOR,12/1/17 9:11:33
Mcuevas,AA08502,1,1,12/1/17 9:13:30
Crichards,AD06202,1,4,12/1/17 9:13:26
Crichards,AA08502,1,1,12/1/17 9:11:51
Crichards,AD06102,1,FLOOR,12/1/17 9:14:44
Crichards,AC16102,2,FLOOR,12/1/17 9:10:11
Crichards,AC16102,4,FLOOR,12/1/17 9:08:43
Crichards,AC07202,1,3,12/1/17 9:06:06
Crichards,AC10102,1,FLOOR,12/1/17 9:06:42
Crichards,AC16102,2,FLOOR,12/1/17 8:54:53
Crichards,AC16102,1,FLOOR,12/1/17 8:55:03
Crichards,AC16102,1,FLOOR,12/1/17 8:54:41
Crichards,AC03101,6,FLOOR,12/1/17 9:00:04
Crichards,AC04202,1,3,12/1/17 8:58:38
Crichards,AC01201,1,3,12/1/17 8:56:26
Crichards,AC04101,1,FLOOR,12/1/17 9:00:55
Crichards,AC06103,1,FLOOR,12/1/17 9:00:33
Crichards,AC11103,1,FLOOR,12/1/17 9:01:45
Crichards,AC11103,1,FLOOR,12/1/17 9:01:57
Crichards,AC03402,1,3,12/1/17 9:03:23
Crichards,AD06202,1,4,12/1/17 9:16:48
Crichards,AD16303,1,4,12/1/17 9:18:18
Crichards,AD16303,1,4,12/1/17 9:19:03
Crichards,AA08502,1,1,12/1/17 9:20:54
twilkinson,AA04501,1,1,12/1/17 9:05:31
twilkinson,AA13301,1,FLOOR,12/1/17 9:04:55
twilkinson,AI15303,1,9,12/1/17 8:57:15
twilkinson,AL07301,1,FLOOR,12/1/17 9:07:33
twilkinson,AL07301,1,FLOOR,12/1/17 9:06:24
rbarr,AC08202,1,3,12/1/17 9:07:20
rbarr,AC13101,1,FLOOR,12/1/17 9:06:14
rbarr,AP07301,1,16,12/1/17 9:09:48
rbarr,AO15302,1,15,12/1/17 9:16:42
rbarr,AU14402,1,21,12/1/17 9:12:56
rbarr,AU06501,1,21,12/1/17 9:11:31
rbarr,AV02209,2,FLOOR,12/1/17 8:58:41
rbarr,AC13101,1,FLOOR,12/1/17 9:05:52
rbarr,AC18101,1,FLOOR,12/1/17 9:04:50
rbarr,AC18101,1,FLOOR,12/1/17 9:04:27
rbarr,AV31201,1,FLOOR,12/1/17 9:00:42
rbarr,AE03203,1,5,12/1/17 9:20:38
rbarr,AE18203,1,5,12/1/17 9:21:58
rbarr,AE05101,1,FLOOR,12/1/17 9:23:26
rbarr,AE15201,1,5,12/1/17 9:19:06
rbarr,AE15202,1,5,12/1/17 9:19:27
rbarr,AE04101,1,FLOOR,12/1/17 9:17:43
rbarr,AE02101,1,FLOOR,12/1/17 9:18:02
rbarr,AE15101,9,FLOOR,12/1/17 9:25:57
rbarr,AA08502,1,1,12/1/17 9:27:15
rbarr,AA08502,1,1,12/1/17 9:31:44
rbarr,AD06202,1,4,12/1/17 9:33:27
Agage,AK11101,1,FLOOR,12/1/17 9:04:52
Agage,AA07301,1,FLOOR,12/1/17 9:07:12
twilkinson,AG26101,1,FLOOR,12/1/17 9:08:29
twilkinson,AI16103,1,FLOOR,12/1/17 9:11:33
twilkinson,AL20201,1,FLOOR,12/1/17 9:14:04
twilkinson,AL20203,1,FLOOR,12/1/17 9:14:55
Agage,AN07103,1,FLOOR,12/1/17 9:14:49
Agage,AE05101,1,FLOOR,12/1/17 9:16:08
Agage,AE03103,1,FLOOR,12/1/17 9:16:48
Agage,AD11102,1,FLOOR,12/1/17 9:13:31
Agage,AD11102,1,FLOOR,12/1/17 9:13:08
Agage,AD12102,1,FLOOR,12/1/17 9:12:10
Agage,AD11101,1,FLOOR,12/1/17 9:12:33
Agage,AE15101,1,FLOOR,12/1/17 9:11:36
Agage,AE02101,1,FLOOR,12/1/17 9:10:25
Agage,AE04102,1,FLOOR,12/1/17 9:09:55
Agage,AF05101,1,FLOOR,12/1/17 9:18:07
Agage,FR05101,1,FLOOR,12/1/17 9:19:38
Agage,FR05101,1,FLOOR,12/1/17 9:19:59
Agage,AF04103,1,FLOOR,12/1/17 9:17:41
Mcuevas,AD18303,2,4,12/1/17 9:21:04
Mcuevas,AL07301,1,FLOOR,12/1/17 9:17:01
Mcuevas,AK03401,1,11,12/1/17 9:23:01
Mcuevas,AC02103,1,FLOOR,12/1/17 9:15:46
Agage,AJ04101,1,FLOOR,12/1/17 9:22:14
Agage,AC08101,1,FLOOR,12/1/17 9:24:20
Crichards,AC02103,4,FLOOR,12/1/17 9:25:11
Mcuevas,AA08502,1,1,12/1/17 9:29:14
Mcuevas,AA08502,1,1,12/1/17 9:29:40
Mcuevas,AA08502,1,1,12/1/17 9:29:58
Mcuevas,AK15401,1,11,12/1/17 9:26:12
Mcuevas,AA08502,1,1,12/1/17 9:28:17
Mcuevas,AA08502,1,1,12/1/17 9:30:41
Mcuevas,AE08102,1,FLOOR,12/1/17 9:31:51
Mcuevas,AB15402,1,2,12/1/17 9:34:37
Mcuevas,AT16302,1,20,12/1/17 9:35:57
Mcuevas,AF18202,1,6,12/1/17 9:37:02
Mcuevas,AQ13301,1,17,12/1/17 9:38:16
Mcuevas,AQ12202,1,17,12/1/17 9:39:04
Mcuevas,AH15402,2,8,12/1/17 9:40:31
Mcuevas,AH02202,1,8,12/1/17 9:42:20
Mcuevas,AM08302,1,13,12/1/17 9:43:32
Mcuevas,AI17301,1,9,12/1/17 9:44:34
Agage,AC02103,1,FLOOR,12/1/17 9:26:35
twilkinson,AL19103,1,FLOOR,12/1/17 9:28:28
twilkinson,AL12502,1,12,12/1/17 9:27:33
twilkinson,AB04203,1,FLOOR,12/1/17 9:30:20
twilkinson,AB17503,1,2,12/1/17 9:42:49
